epoch,loss,val_loss
0,2.2070151102542876,2.8094347497613192
1,2.232595018148422,2.487879519184206
2,2.223029585003853,2.560556310718342
3,2.2155088156461717,2.5383534332677695
4,2.2179611926078797,2.4750728420843062
5,2.214413794517517,2.427030866653457
6,2.2038657315969465,2.4543967651108565
7,2.2245786484479906,2.5368055287054028
8,2.190224605798721,2.385275679905311
9,2.213984070301056,2.4003358619136774
10,2.2099990882873537,2.3564364178257025
11,2.190203194975853,2.509166768266207
12,2.2136471787691114,2.3387329636769554
13,2.2049854046106336,2.6406239533828475
14,2.2082000625133515,2.5697532568947743
15,2.1951716772317886,2.9423850159636102
16,2.2116743224859237,2.326614651639583
17,2.1976155886650086,2.46836664829326
18,2.1897758892774584,2.3617240675425126
19,2.182565941333771,2.453331359025449
20,2.190256079316139,2.6428418370514493
21,2.1649547692537308,2.3665747629047114
22,2.1889374195337297,2.4899676445513794
23,2.178042976260185,2.5623238480697244
24,2.2144398704767227,2.350581344799358
25,2.053204466462135,2.2077299992916948
26,2.024713570475578,2.215852916352942
27,2.0110354487895967,2.1887429166872847
28,2.0018560752868653,2.214463653649763
29,1.9845531750917436,2.2033475988777793
