epoch,loss,val_loss
0,2.22666739487648,2.370975536029442
1,2.203525552392006,2.5037466711917165
2,2.1803161262273787,2.524202976635396
3,2.18891488802433,2.3545893136615357
4,2.1635611950159075,2.4182994475696944
5,2.185110694408417,2.412944334823982
6,2.1953500521183016,2.448030146950831
7,2.1764230105876923,2.3998614013082786
8,2.1905924113988875,2.3373842221419916
9,2.1872698705196383,2.3711122941162626
10,2.1566692786216737,2.6802556070230774
11,2.1941488031148912,2.504242447473235
12,2.1852412483692167,2.3974343676351557
13,2.149345440745354,2.3159342101738276
14,2.178188417196274,2.5026690737675814
15,2.188479359149933,2.4047427864397988
16,2.164038734078407,2.386406200304768
17,2.1720734279155733,2.5403715680772527
18,2.172438378572464,2.6212564100653437
19,2.170923251390457,2.570962380330217
20,2.1524656792879107,2.358708253463558
21,2.151043183803558,2.4315427586632707
22,2.0394640409946443,2.166980537766566
23,1.9825200518369674,2.1774141883894997
24,1.9827890511751174,2.2674969549232955
25,1.9797045588493347,2.143163527360295
26,1.9690439475774766,2.14405059881803
27,1.9422553194761276,2.1810369620664423
28,1.9548362782001496,2.161132708332184
29,1.9408845456838608,2.1514968656550693
